alf_excel_row,alf_facility,alf_corporate,alf_address,alf_city,alf_state,alf_beds,alf_census,alf_ownership,alf_served,confidence,snf_excel_row,snf_facility,snf_corporate,snf_beds,snf_census,cms_provider,cms_beds,cms_chain,cms_chain_id
6195,THE SPRINGS AT STONY BROOK,TRILOGY HEALTH SERVICES,"2200 Stony Brook Dr,",Louisville,KY,29,23,Corporate,No,HIGH,6157,THE SPRINGS AT STONY BROOK,TRILOGY HEALTH SERVICES,66,64.8,THE SPRINGS AT STONY BROOK,66.0,TRILOGY HEALTH SERVICES,524.0
6199,THE VILLAGE OF LEBANON,THE VILLAGE OF LEBANON,105 Village Way,Lebanon,KY,29,23,Independent,No,HIGH,6160,"THE VILLAGE OF LEBANON II, LLC",,64,46.2,"THE VILLAGE OF LEBANON II, LLC",64.0,,
6200,THE WILLOWS AT CITATION,TRILOGY HEALTH SERVICES,1376 Silver Springs Dr,Lexington,KY,36,29,Corporate,No,HIGH,6161,THE WILLOWS AT CITATION,TRILOGY HEALTH SERVICES,54,51.1,THE WILLOWS AT CITATION,54.0,TRILOGY HEALTH SERVICES,524.0
6201,THE WILLOWS AT FRITZ FARM,TRILOGY HEALTH SERVICES,2710 Man O War Blvd,Lexington,KY,23,18,Corporate,No,HIGH,6162,THE WILLOWS AT FRITZ FARM,TRILOGY HEALTH SERVICES,54,49.3,THE WILLOWS AT FRITZ FARM,54.0,TRILOGY HEALTH SERVICES,524.0
6202,THE WILLOWS AT HAMBURG,TRILOGY HEALTH SERVICES,2531 Old Rosebud Rd,Lexington,KY,21,17,Corporate,No,HIGH,6163,THE WILLOWS AT HAMBURG,TRILOGY HEALTH SERVICES,64,57.8,THE WILLOWS AT HAMBURG,64.0,TRILOGY HEALTH SERVICES,524.0
6203,THE WILLOWS AT HARRODSBURG,TRILOGY HEALTH SERVICES,180 Lucky Man Way,Harrodsburg,KY,36,29,Corporate,No,HIGH,6164,THE WILLOWS AT HARRODSBURG,TRILOGY HEALTH SERVICES,45,42,THE WILLOWS AT HARRODSBURG,45.0,TRILOGY HEALTH SERVICES,524.0
6206,TREYTON OAK TOWERS,TREYTON OAK TOWERS,211 W. Oak St,Louisville,KY,53,42,Independent,No,HIGH,6168,TREYTON OAK TOWERS,,60,49.9,TREYTON OAK TOWERS,60.0,,
6215,VILLAGE OF LEBANON,INDEPENDENT,105 Village Way,Lebanon,KY,44,35,Independent,Yes,HIGH,6160,"THE VILLAGE OF LEBANON II, LLC",,64,46.2,"THE VILLAGE OF LEBANON II, LLC",64.0,,
6233,WELLINGTON PARC OF OWENSBORO,MAJESTIC CARE,2885 New Hartford Rd,Owensboro,KY,68,54,Corporate,Yes,HIGH,6220,WELLINGTON PARC OF OWENSBORO,,44,38.9,WELLINGTON PARC OF OWENSBORO,44.0,,
6234,WESLEY MANOR RETIREMENT COMMUNITY,WESLEY MANOR RETIREMENT COMMUNITY,5012 E Manslick Rd,Louisville,KY,41,33,Independent,No,HIGH,6221,WESLEY MANOR,,68,63.3,WESLEY MANOR,68.0,,
6235,WESTPORT PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,4247 Westport Rd,Louisville,KY,24,19,Corporate,No,HIGH,6224,WESTPORT PLACE HEALTH CAMPUS,TRILOGY HEALTH SERVICES,62,56,WESTPORT PLACE HEALTH CAMPUS,62.0,TRILOGY HEALTH SERVICES,524.0
6241,WOODLAND,BLUEGRASS/ENCORE,1820 Oakview Rd,Ashland,KY,46,37,Corporate,Yes,HIGH,6229,WOODLAND OAKS,BLUEGRASS HEALTH KY,110,105.9,WOODLAND OAKS,110.0,BLUEGRASS HEALTH KY,748.0
