excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,beds,census,data_quality_flag,facility_tags,corporate_tags,all_tags,confidence
18503,GLENNS CREEK MANOR SENIOR LIVING 55+ APARTMENTS,GLENNS CREEK MANOR,265 Democrat Dr,Frankfort,KY,Independent,No,80,64,,AGE_55_PLUS,,AGE_55_PLUS,HIGH
18539,GRANDE VILLAGE VILLAS,HENDERSON JEANNE T (TE),2625 East Aurora Road,Twinsburg,OH,Independent,No,108,86,,VILLA,,VILLA,MEDIUM
18601,HARMONY AT AVON,AVON IL-AL INVESTORS LLC,2141 North Dan Jones Road,Avon,IN,Independent,No,186,149,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18608,HARMONY AT DIAMOND RIDGE,MOON IL-AL INVESTORS LLC,3301 Market Place Bvld,Moon Township,PA,Independent,No,186,149,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18613,HARMONY AT HARBOUR VIEW,SUFFOLK IL AL INVESTORS LLC,5871 Harbour View Blvd,Suffolk,VA,Independent,No,169,135,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18614,HARMONY AT HARTS RUN,FOX CHAPEL IL-AL INVESTORS LLC,3450 Harts Run Rd,Glenshaw,PA,Independent,No,192,154,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18615,HARMONY AT HERSHEY,HERSHEY IL AL INVESTORS LLC,75 East Canal Street,Hershey,PA,Independent,No,129,103,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18617,HARMONY AT INDEPENDENCE,VIRGINIA BEACH IL-AL INVESTORS LLC,2077 S Independence Blvd,Virginia Beach,VA,Independent,No,180,144,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18618,HARMONY AT MORNING GROVE,MEMPHIS IL-AL INVESTORS LLC,9525 Us-64,Cordova,TN,Independent,No,196,157,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18621,HARMONY AT OAKBROOKE,CHESAPEAKE IL-AL INVESTORS LLC,301 Clearfield Avenue,Chesapeake,VA,Independent,No,183,146,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18625,HARMONY AT TUCKER STATION,LOUISVILLE IL AL INVESTORS LLC,12523 Taylorsville Rd,Louisville,KY,Independent,No,183,146,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18627,HARMONY AT WESCOTT,CHARLESTON IL-AL INVESTORS LLC,5130 Wescott Blvd,Summerville,SC,Independent,No,184,147,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18628,HARMONY AT WEST ASHLEY,WEST ASHLEY IL-AL INVESTORS LLC,1925 Essex Farms Dr,Charleston,SC,Independent,No,184,147,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18629,HARMONY AT WEST SHORE,HAMPDEN IL-AL INVESTORS LLC,1910 Technology Parkway,Mechanicsburg,PA,Independent,No,193,154,,,IL_ABBREVIATION,IL_ABBREVIATION,LOW
18630,HARMONY COLLECTION AT COLUMBIA (IL),COLUMBIA IL INVESTORS LLC,2232 Clemson Rd,Columbia,SC,Independent,No,25,20,,IL_ABBREVIATION,IL_ABBREVIATION,IL_ABBREVIATION,HIGH
18760,HOLLY MANOR AL IL OPERATIONS LLC,,2005 Cobb Street,Farmville,VA,Independent,No,120,96,,IL_ABBREVIATION,,IL_ABBREVIATION,HIGH
18783,HORIZON HOMES (55+ COMMUNITY) APARTMENTS,COVERT & HORIZON LLC,1450 Luther Sq,Evansville,IN,Independent,No,148,118,,AGE_55_PLUS,,AGE_55_PLUS,HIGH
18892,KEYSTONE VILLA AT DOUGLASSVILLE PERSONAL CARE,1180 BEN FRANKLIN WAY LLC,1152 Ben Franklin Hwy E,Douglassville,PA,Independent,No,247,198,,VILLA,,VILLA,MEDIUM
18893,KEYSTONE VILLA AT EPHRATA,,100 N State St,Ephrata,PA,Independent,No,139,111,,VILLA,,VILLA,MEDIUM
18894,KEYSTONE VILLA AT FLEETWOOD,501 HOCH ROAD LLC,501 Hoch Rd,Blandon,PA,Independent,No,123,98,,VILLA,,VILLA,MEDIUM
18907,KNICKERBOCKER VILLA,RC KNICKERBOCKER LLC,304 South Second Street,Clearfield,PA,Independent,No,70,56,,VILLA,,VILLA,MEDIUM
18911,LAFAYETTE BICKFORD COTTAGE LLC,SUNRISE INVESTMENTS LLC,3633 Regal Valley Dr,Lafayette,IN,Independent,No,33,26,,COTTAGE,,COTTAGE,MEDIUM
18967,LEAH'S VICTORIAN COTTAGE I,ILGENFRITZ JEROME T,511 Park Avenue,Scottdale,PA,Independent,No,30,24,,COTTAGE,,COTTAGE,MEDIUM
18985,LEGACY PLACE COTTAGES,JAH-JIREH HOMES OF AMERICA-ALLENTOWN,2051 Bevin Dr,Allentown,PA,Independent,No,40,32,,COTTAGE,,COTTAGE,MEDIUM
