alf_excel_row,alf_facility,alf_corporate,alf_address,alf_city,alf_state,alf_beds,alf_census,alf_ownership,alf_served,match_type,snf_excel_row,snf_facility,snf_corporate,snf_beds,cms_provider,cms_beds,cms_chain
4524,AMBER MANOR CARE CENTER,TRILOGY HEALTH SERVICES,801 E Illinois St,Petersburg,IN,19,15,Corporate,No,BOTH,4490,AMBER MANOR CARE CENTER,TRILOGY HEALTH SERVICES,64,AMBER MANOR CARE CENTER,64.0,TRILOGY HEALTH SERVICES
14232,BROAD CREEK CARE CENTER ASSISTED LIVING,BROAD CREEK CARE CENTER ASSISTED LIVING,801 Lemon Grass Ct,Hilton Head Island,SC,50,40,Independent,No,BOTH,14227,BROAD CREEK CARE CENTER,VI LIVING,25,BROAD CREEK CARE CENTER,25.0,VI LIVING
20229,THE CLINTON PRESBYTERIAN COMMUNITY,,801 Musgrove St,Clinton,SC,112,90,Independent,No,BOTH,14343,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA- CLINTO,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA,18,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA- CLINTO,18.0,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA
4882,HERITAGE POINTE OF WARREN,HERITAGE POINTE COMMUNITIES,801 N Huntington Ave,Warren,IN,248,198,Corporate,No,BOTH,4827,HERITAGE POINTE OF WARREN,,119,HERITAGE POINTE OF WARREN,119.0,
19891,SHANNONDALE OF MARYVILLE HEALTH CARE CENTER,PRESBYTERIAN HOMES OF TENNESSEE INC,803 Shannondale Way,Maryville,TN,173,138,Corporate,No,BOTH,14757,SHANNONDALE OF MARYVILLE HEALTH CARE CENTER,,44,SHANNONDALE OF MARYVILLE HEALTH CARE CENTER,44.0,
16620,WOODSTOCK VALLEY HEALTH AND REHAB,EASTERN HEALTHCARE GROUP,803 S Main St,Woodstock,VA,80,64,Corporate,Yes,BOTH,16237,CONSULATE HEALTH CARE OF WOODSTOCK,CONSULATE HEALTH CARE/INDEPENDENCE LIVING CENTERS/NSPIRE HEALTHCARE/RAYDIANT HEALTH CARE,88,CONSULATE HEALTH CARE OF WOODSTOCK,88.0,CONSULATE HEALTH CARE/INDEPENDENCE LIVING CENTERS/NSPIRE HEALTHCARE/RAYDIANT HEALTH CARE
9557,PRUITTHEALTH - ROCKINGHAM,PRUITT HEALTH,804 S Long Dr,Rockingham,NC,57,46,Corporate,Yes,BOTH,9502,PRUITTHEALTH-ROCKINGHAM,PRUITTHEALTH,120,PRUITTHEALTH-ROCKINGHAM,120.0,PRUITTHEALTH
5002,MANDERLEY HEALTH CARE CENTER,PRIORITY MANAGEMENT,806 S Buckeye St,Osgood,IN,54,43,Corporate,Yes,BOTH,4960,MANDERLEY HEALTH CARE CENTER,ADAMS COUNTY MEMORIAL HOSPITAL,71,MANDERLEY HEALTH CARE CENTER,71.0,ADAMS COUNTY MEMORIAL HOSPITAL
17975,CHESTERWOOD VILLAGE,HILLANDALE IL LLC,8073 Tylersville Rd,West Chester,OH,282,226,Independent,No,BOTH,11835,CHESTERWOOD VILLAGE,CARESPRING,125,CHESTERWOOD VILLAGE,125.0,CARESPRING
20798,WESLEYAN VILLAGE,ELYRIA UNITED METHODIST VILLAGE,807 West Ave,Elyria,OH,315,252,Independent,No,BOTH,12994,WESLEYAN VILLAGE,EPHRAM LAHASKY,99,WESLEYAN VILLAGE,99.0,EPHRAM LAHASKY
19282,MT HEALTHY CHRISTIAN HOME,MT HEALTHY CHRISTIAN HOME INC,8097 Hamilton Ave,Cincinnati,OH,188,150,Independent,No,BOTH,12404,MT HEALTHY CHRISTIAN HOME,,75,MT HEALTHY CHRISTIAN HOME,75.0,
4689,CLINTON HOUSE REHAB & HCC,HENRY COUNTY MEMORIAL HOSPITAL,809 W Freeman St,Frankfort,IN,65,52,Independent,Yes,BOTH,4649,CLINTON HOUSE REHABILITATION AND HEALTHCARE CENTER,CASTLE HEALTHCARE,88,CLINTON HOUSE REHABILITATION AND HEALTHCARE CENTER,88.0,CASTLE HEALTHCARE
12624,SAINT LEONARD COMMUNITY LIVING,INDEPENDENT,8100 Clyo Rd,Centerville,OH,220,176,Independent,No,BOTH,12699,ST LEONARD HCC,COMMONSPIRIT HEALTH,150,ST LEONARD HCC,150.0,COMMONSPIRIT HEALTH
14413,THE PALMETTOS OF MAULDIN,THE PALMETTOS OF MAULDIN,810 E. Butler Rd.,Greenville,SC,60,48,Independent,No,DB_SNF_ONLY,20393,THE PALMETTOS OF MAULDIN,NHC HEALTHCARE/MAULDIN LLC,221,,,
5029,NORTH RIVER HEALTH CAMPUS,TRILOGY HEALTH SERVICES,811 E Baseline Rd,Evansville,IN,37,30,Corporate,No,BOTH,5023,NORTH RIVER HEALTH CAMPUS,TRILOGY HEALTH SERVICES,58,NORTH RIVER HEALTH CAMPUS,58.0,TRILOGY HEALTH SERVICES
