addr_key,glr_facility_name,glr_type,glr_beds,glr_census,glr_patients,glr_cmsccn,glr_status,glr_parent_company,city,state,zip,pc,psych,mh,pod,pain,wc,spec
2101 DEYERLE AVE,BROOKDALE (ALF) HARRISONBURG,AL,NULL,NULL,47,NULL,Established,Brookdale Senior Living,HARRISONBURG,Virginia,22801,39,0,0,0,0,2,0
2101 RUNNYMEDE LN,Summit Place of South Park,AL/MC,NULL,60,64,NULL,Established,TERRABELLA SENIOR LIVING,Charlotte,North Carolina,28209,27,0,0,0,0,1,0
2105 W ARLINGTON BLVD,Navion of Greenville (Brookdale W. Arlington Blvd.,AL,60,31,20,NULL,Established,NAVION,Greenville,North Carolina,27834,19,0,0,0,0,6,0
211 MILTON BROWN HEIRS RD,Glenbridge Health and Rehabilitation,SNF,134,103,52,345163,Established,Brighton,Boone,North Carolina,28607,46,0,0,0,0,0,0
2111 NORTON LN,Majestic Care of Bedford,SNFMD,NULL,NULL,0,155100,Established,MAJESTIC CARE,BEDFORD,Indiana,47421,0,0,0,0,0,0,0
2111 NORTON LN,Majestic Care of Bedford,SNFMD,NULL,NULL,110,155100,Established,MAJESTIC CARE,BEDFORD,Indiana,47421,100,0,0,0,0,17,0
2116 BUTLER RD,Cedar Creek of Fort Wayne,AL,NULL,NULL,24,NULL,Established,CEDARHURST SENOR LIVING,Fort Wayne,Indiana,46808,22,0,0,0,0,0,0
2119 E NATIONAL HWY,Eastgate Manor,SNF,62,58,17,NULL,Established,AMERICAN SENIOR COMMUNITIES,Washington,Indiana,47501,0,0,0,0,0,0,0
213 RICHMOND HILL DR,River Bend Health & Rehabilitation ALF,AL/SNF,150,94,30,345432,Established,Brighton,Asheville,North Carolina,28806,30,0,0,0,0,0,0
213 RICHMOND HILL DR,River Bend Health & Rehabilitation SNF,AL/SNF,150,94,84,345432,Established,Brighton,Asheville,North Carolina,28806,75,0,0,0,0,0,0
2130 ROSE VISTA RD,Rose Vista Assisted Living,AL,60,56,52,NULL,Established,JANET MOOSE,Kinston,North Carolina,28504,49,0,0,0,0,5,0
2135 S SCALES ST,Highgrove Long Term Care Center,AL,NULL,NULL,34,NULL,Established,INDEPENDENT,Reidsville,North Carolina,27320,31,0,0,0,0,0,0
2140 MEDICAL PARK DR,Trinity Ridge,SNFMD,120,115,114,345106,Established,Lutheran Services Carolinas,Hickory,North Carolina,28602,111,0,0,0,0,11,0
2147 DAVIE AVE,The Gardens of Statesville,AL,67,65,31,NULL,Established,PREMIER SENIOR LIVING,Statesville,North Carolina,28625,30,0,0,0,0,7,0
215 DAVIS RD,Ossian Healthcare ALF,AL,NULL,NULL,30,155335,Established,TLC Management,Ossian,Indiana,46777,24,0,0,0,0,0,0
215 DAVIS RD,Ossian Healthcare SNF,SNF,NULL,NULL,97,155335,Established,TLC Management,OSSIAN,Indiana,46777,87,0,0,0,0,0,0
215 LASH DR,The Laurels of Salisbury,SNF,NULL,NULL,34,345428,Established,LAUREL HEALTH CARE COMPANY,Salisbury,North Carolina,28147,33,0,0,0,0,0,0
215 W HIGH ST,Envive Healthcare of Liberty,SNF,NULL,NULL,23,155507,Established,MAGNOLIA,LIBERTY,Indiana,47353,23,0,0,0,0,0,0
2150 HULL RD,North Carolina State Veterans Home - Kinston,SNFMD,NULL,NULL,92,345560,Established,PRUITT HEALTH,Kinston,North Carolina,28504,84,0,0,0,0,25,0
217 JONESBORO RD,Cardinal Care Dunn,AL/MC,NULL,NULL,37,NULL,Established,JOEY CANNON,DUNN,North Carolina,28334,34,0,0,0,0,0,0
219 STEVENS AVE,Highland Homes,AL,100,70,44,NULL,Established,Seniorly,Princeton,Kentucky,42445,43,0,0,0,0,4,0
22 MAGNOLIA WAY,Gardens of Pamlico,AL,40,26,19,NULL,Established,ALG,Grantsboro,North Carolina,28529,17,0,0,0,0,7,0
220 WORSHAM LN,Dishman Personal Care,AL,48,48,49,NULL,Established,INDEPENDENT,Monticello,Kentucky,42633,49,0,0,0,0,6,0
2200 ELM AVE,Scotia Village Retirement Center,SNF,NULL,NULL,33,345297,Established,"PRESBYTERIAN HOMES, DBA BRIGHTSPIRE",Laurinburg,North Carolina,28352,29,0,0,0,0,0,0
2201 E ST,Timbercrest Retirement,AL,261,77,7,155740,Established,INDEPENDENT,North Manchester,Indiana,46962,6,0,0,0,0,0,0
"2201 E ST, N",Timbercrest SNF,AL/MC/IL,326,135,34,NULL,Established,Woodlawn Hospital,"Manchester, IN 46962",Indiana,46962,31,0,0,0,0,0,0
2201 STATESVILLE BLVD,Brookdale Salisbury,AL,NULL,NULL,37,NULL,Established,BROOKDALE SENIOR LIVING,Salisbury,North Carolina,28147,35,0,0,0,0,8,2
2209 SAINT JOE CENTER RD,Towne House Retirement Community ALF,AL,0,0,19,155475,Established,BHI SENIOR LIVING,Fort Wayne,Indiana,46825,17,0,0,0,0,0,0
2209 SAINT JOE CENTER RD,Town House Retirement Community,MC,NULL,NULL,0,155475,Established,BHI Senior Living,Fort Wayne,Indiana,46825,0,0,0,0,0,0,0
2209 SAINT JOE CENTER RD,Towne House Retirement Community SNF,SNF,NULL,72,23,155475,Established,BHI Senior Living,Fort Wayne,Indiana,46825,20,0,0,0,0,0,0
2220 FARMINGTON DR,Brookdale Chapel Hill AL,AL,NULL,NULL,45,NULL,Established,BROOKDALE SENIOR LIVING,Chapel Hill,North Carolina,27517,41,0,0,0,0,15,33
