cluster_num,address,city,state,excel_row,facility_name,corp,type,beds,census,served,integ,pcp,mh,barrier,source,campus_id,has_served
94,4916 N Bend Rd,Cincinnati,OH,12583,TRADITIONS AT NORTH BEND,TRADITIONS,ALF,72,58.0,No,No,No,No,,GLR,,Yes
95,5201 Morse Rd,Gahanna,OH,12443,SAGE PARK,SONIDA SENIOR LIVING,ALF,14,11.0,Yes,No,No,Yes,,GLR,,Yes
95,5201 Morse Rd,Gahanna,OH,12330,SAGE PARK ASSISTED LIVING AND MEMORY CARE,SONIDA SENIOR LIVING,ALF,66,53.0,No,No,No,No,,GLR,,Yes
96,555 N Glenn Ave,Washington Court House,OH,11657,COURT HOUSE MANOR ALF,HCF,ALF,16,13.0,Yes,No,Yes,No,,GLR,,Yes
96,555 N Glenn Ave,Washington Court House,OH,11656,COURT HOUSE MANOR,HCF,ALF,85,68.0,Yes,No,Yes,No,,GLR,,Yes
97,6727 Contreras Rd,Oxford,OH,12609,THE KNOLLS OF OXFORD - SNF,MAPLE KNOLL COMMUNITIES,ALF,34,27.0,Yes,No,No,Yes,,GLR,,Yes
97,6727 Contreras Rd,Oxford,OH,12608,THE KNOLLS OF OXFORD - ALF,MAPLE KNOLL COMMUNITIES,ALF,2,2.0,Yes,No,No,Yes,,GLR,,Yes
98,1009 Old Country Club Rd NW,Roanoke,VA,16010,HERMITAGE ROANOKE -HC,Pinnacle Living,ALF,6,5.0,Yes,No,No,Yes,,GLR,,Yes
98,1009 Old Country Club Rd NW,Roanoke,VA,16009,HERMITAGE ROANOKE - ALF,Pinnacle Living,ALF,19,15.0,Yes,No,No,Yes,,GLR,,Yes
99,1203 Roundtree Dr,Bedford,VA,15878,CARRIAGE HILL RETIREMENT-ALF,IMPACT SENIOR LIVING,ALF,81,65.0,Yes,No,No,Yes,,GLR,,Yes
99,1203 Roundtree Dr,Bedford,VA,17477,CARRIAGE HILL RETIREMENT,IMPACT SENIOR LIVING,ALF,140,112.0,No,No,No,No,,GLR,,Yes
100,1320 Enterprise Dr,Lynchburg,VA,16206,THE SUMMIT- ALF,LIFESPIRE OF VIRGINIA,ALF,37,30.0,Yes,Yes,No,No,,GLR,,Yes
100,1320 Enterprise Dr,Lynchburg,VA,16235,THE SUMMIT ASSISTED LIVING,LIFESPIRE OF VIRGINIA,ALF,72,58.0,No,No,No,No,,GLR,,Yes
101,160 Kendal Dr,Lexington,VA,16018,KENDAL AT LEXINGTON - ALF,KENDAL AT LEXINGTON,ALF,4,3.0,Yes,Yes,No,No,,GLR,,Yes
101,160 Kendal Dr,Lexington,VA,16019,KENDAL AT LEXINGTON - SNF/NF,KENDAL AT LEXINGTON,ALF,42,34.0,Yes,No,No,Yes,,GLR,,Yes
102,1604 Graves Mill Rd,Lynchburg,VA,15837,BENTLEY COMMONS-ALF,KAPLAN DEVELOPMENT,ALF,41,33.0,Yes,Yes,No,No,,GLR,,Yes
102,1604 Graves Mill Rd,Lynchburg,VA,17266,BENTLEY COMMONS AT LYNCHBURG,KAPLAN DEVELOPMENT,ALF,135,108.0,No,No,No,No,,GLR,,Yes
102,1604 Graves Mill Rd,Lynchburg,VA,15838,BENTLEY COMMONS-IL,KAPLAN DEVELOPMENT,ILF,4,3.0,Yes,No,No,Yes,,GLR,,Yes
103,200 The Glebe Blvd,Daleville,VA,15958,GLEBE-ALF,LIFESPIRE OF VIRGINIA,ALF,24,19.0,Yes,Yes,No,No,,GLR,,Yes
103,200 The Glebe Blvd,Daleville,VA,19628,THE GLEBE,LIFESPIRE OF VIRGINIA,ALF,84,67.0,No,No,No,No,,GLR,,Yes
103,200 The Glebe Blvd,Daleville,VA,15959,GLEBE-INDEPENDENT LIVING,LIFESPIRE OF VIRGINIA,ILF,51,41.0,Yes,No,No,Yes,,GLR,,Yes
103,200 The Glebe Blvd,Daleville,VA,15960,GLEBE-SNF/NF,LIFESPIRE OF VIRGINIA,SNF,31,25.0,Yes,No,No,Yes,,GLR,,Yes
104,2387 Warm Hearth Dr,Blacksburg,VA,16254,WARM HEARTH-THE WILLOWS,WARM HEARTH VILLAGE,ALF,23,18.0,Yes,No,No,Yes,,GLR,,Yes
104,2387 Warm Hearth Dr,Blacksburg,VA,16251,WARM HEARTH-SHOWALTER CENTER,WARM HEARTH VILLAGE,ALF,30,24.0,Yes,No,No,Yes,,GLR,,Yes
104,2387 Warm Hearth Dr,Blacksburg,VA,16252,WARM HEARTH-THE ARBORS,WARM HEARTH VILLAGE,ALF,10,8.0,Yes,No,No,Yes,,GLR,,Yes
104,2387 Warm Hearth Dr,Blacksburg,VA,16253,WARM HEARTH-THE COVE-SNF/NF,WARM HEARTH VILLAGE,SNF,72,58.0,Yes,No,No,Yes,,GLR,,Yes
105,302 N 2Nd St.,Bridgewater,VA,15871,"BRIDGEWATER HOME, INC. - ALF",INDEPENDENT,ALF,68,54.0,Yes,No,Yes,No,,GLR,,Yes
