excel_row,facility,corporate_name,address,city,state,ownership_type,do_we_serve,db_beds,db_census,nic_operator,nic_owner,nic_ccn,nic_profit_status,nc_units,al_units,mc_units,il_units,aa_units,total_units,classification,tags,detail
9353,MAGNOLIA CREEK ASSISTED LIVING,"WP-WINSTON SALEM HEALTH HOLDINGS, LLC",2560 Willard Rd,Winston-Salem,NC,Independent,No,117,94,ALG Senior,Nc4 Magcreek LLC,,For Profit,0,43,17,0,0,60,FLAGGED,PROPCO_SPLIT,"Operator=ALG Senior, Owner=Nc4 Magcreek LLC"
9354,MAGNOLIA GARDENS,"MAGNOLIA GARDENS OF SOUTHERN PINES, LLC",594 Murray Hill Rd,Southern Pines,NC,Independent,No,110,88,Magnolia Gardens - NC,Magnolia Gardens Of Southern Pines LLC,,Unknown,0,78,32,0,0,110,FLAGGED,PROPCO_AS_CORPORATE,"Corp=Owner(Magnolia Gardens Of Southern Pines LLC), real operator=Magnolia Gardens - NC"
9355,MAGNOLIA GLEN,"KSL MG, ST, LLC",5215 Creedmoor Rd,Raleigh,NC,Independent,No,66,53,Kisco Senior Living,5301 Creedmoor Road LLC,,Unknown,0,66,0,0,0,66,FLAGGED,PROPCO_SPLIT,"Operator=Kisco Senior Living, Owner=5301 Creedmoor Road LLC"
9356,MAGNOLIA GLEN AL,KISCO SENIOR LIVING,5215 Creedmoor Rd,Raleigh,NC,Corporate,Yes,42,34,Kisco Senior Living,5301 Creedmoor Road LLC,,Unknown,0,66,0,0,0,66,CLEAN,,
9357,MAGNOLIA GLEN IN,KISCO SENIOR LIVING,5301 Creedmoor Rd,Raleigh,NC,Corporate,Yes,26,21,Kisco Senior Living,5301 Creedmoor Road LLC,,For Profit,0,48,0,160,0,208,FLAGGED,IL_MIXED,IL=160 (77% of total) with other unit types
9358,MAKING VISIONS COME TRUE ASSISTANT  LIVING FACILITY,"MAKING VISIONS COME TRUE ASSISTANT LIVING FACILITY, LLC",625 Ln St,Burlington,NC,Independent,No,12,10,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9359,MALLARD RIDGE ASSISTED LIVING,"RSS/CLEMMONS OPERATIONS, LLC",9420 N Nc Hwy 150,Clemmons,NC,Independent,No,100,80,Navion Senior Solutions,9420 North Nc Highway 150,,For Profit,0,52,16,0,0,68,FLAGGED,PROPCO_SPLIT,"Operator=Navion Senior Solutions, Owner=9420 North Nc Highway 150"
9360,MAPLE HEIGHTS ASSISTED LIVING,"K.R.RAM-Z, LLC",2065 Chub Lake Rd,Roxboro,NC,Independent,No,34,27,unknown,Ramsey Kenneth R,,Unknown,0,34,0,0,0,34,FLAGGED,PROPCO_SPLIT,"Operator=unknown, Owner=Ramsey Kenneth R"
9361,MARION  ASSISTED LIVING,INDEPENDENT,5234 Nc 226 S,Marion,NC,Independent,Yes,44,35,,,,,0,0,0,0,0,0,NO_NIC_MATCH,,
9362,MARION ASSISTED LIVING,"AMCC HEALTH, LLC",5235 Nc 226 S,Marion,NC,Independent,No,54,43,unknown,unknown,,Unknown,0,54,0,0,0,54,CLEAN,,
9363,MARJORIE MCCUNE MEMORIAL AL,"WESTERN NORTH CAROLINA LIONS, INC",101 Lions Way,Black Mountain,NC,Independent,Yes,52,42,Marjorie McCune Community,W N C Lions Inc,,Unknown,0,64,0,10,0,74,FLAGGED,"PROPCO_SPLIT, IL_MIXED","Operator=Marjorie McCune Community, Owner=W N C Lions Inc | IL=10 (14% of total) with other unit types"
9364,MARJORIE MCCUNE MEMORIAL CENTER,"WESTERN NORTH CAROLINA LION'S, INC",101 Lions Way,Black Mountain,NC,Independent,No,64,51,Marjorie McCune Community,W N C Lions Inc,,Unknown,0,64,0,10,0,74,FLAGGED,"PROPCO_SPLIT, IL_MIXED","Operator=Marjorie McCune Community, Owner=W N C Lions Inc | IL=10 (14% of total) with other unit types"
9365,MARJORIE MCCUNE MEMORIAL IN,LIONS OF WESTERN NC,101 Lions Way,Black Mountain,NC,Independent,Yes,3,2,Marjorie McCune Community,W N C Lions Inc,,Unknown,0,64,0,10,0,74,FLAGGED,"PROPCO_SPLIT, IL_MIXED","Operator=Marjorie McCune Community, Owner=W N C Lions Inc | IL=10 (14% of total) with other unit types"
9366,MARS HILL MANOR ASSISTED LIVING,MAINSTAY SENIOR LIVING,170 S Main St,Mars Hill,NC,Corporate,Yes,49,39,Mainstay Senior Living,Mainstay Healthcare Mars Hill LLC,,For Profit,0,56,0,0,0,56,CLEAN,,
9367,MARS HILL RETIREMENT COMMUNITY,"MARS HILL MANOR, LLC",170 S Main St,Mars Hill,NC,Independent,No,69,55,Mainstay Senior Living,Mainstay Healthcare Mars Hill LLC,,For Profit,0,56,0,0,0,56,FLAGGED,PROPCO_SPLIT,"Operator=Mainstay Senior Living, Owner=Mainstay Healthcare Mars Hill LLC"
